seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,maxenergy,class
b,b,W,31854,304,-75,45,b,1,0,0,0,0,148,148,0
a,a,W,93136,683,29,65,a,0,0,1,0,0,54794,16561,1
a,a,W,45635,163,10,-23,a,1,0,0,0,0,345,345,0
b,a,N,2955,424,16,-15,a,0,0,0,0,0,0,0,0
b,a,N,44939,280,24,-21,b,0,1,0,0,0,4521,4521,0
a,c,N,14306,42,32,4,a,0,0,0,0,0,0,0,0
a,b,W,30686,723,-6,18,a,0,0,0,0,0,0,0,0
c,a,W,117424,38,22,2,c,0,1,0,0,0,2323,2323,0
a,a,N,66082,347,28,30,a,0,0,0,0,0,0,0,0
a,a,W,119397,439,67,-10,a,0,0,0,0,0,0,0,0
a,a,N,264745,43,-84,0,b,0,0,0,0,0,0,0,0
a,a,N,155148,531,49,54,a,0,0,1,0,0,57822,19499,1
a,a,N,19855,528,28,-8,c,0,1,0,0,0,3798,3798,0
a,c,W,46891,322,-46,20,b,0,0,0,0,0,0,0,0
a,a,W,6140,326,-10,49,a,0,1,0,0,0,2683,2683,0
a,a,N,31293,36,-52,2,a,0,0,0,0,0,0,0,0
a,a,W,64165,14,15,20,a,1,0,0,0,0,953,953,0
c,a,W,105051,19,72,19,b,0,1,0,0,0,2665,2665,0
a,a,W,1349,197,42,-13,a,0,1,0,0,0,6620,6620,0
a,a,N,22238,103,-7,4,a,1,0,0,0,0,496,496,0
a,b,N,11803,15,-25,18,a,0,0,0,0,0,0,0,0
a,a,N,36939,263,4,1,b,0,0,0,0,0,0,0,0
c,a,N,66720,17,-46,19,a,0,0,0,0,0,0,0,0
a,a,N,9121,59,-22,-19,a,0,0,0,0,0,0,0,0
a,b,W,24162,422,4,0,a,0,1,0,0,0,1284,1284,0
a,a,N,10566,236,-37,-15,b,0,0,0,0,0,0,0,0
a,a,W,8628,55,-34,-23,a,0,1,0,0,0,1947,1947,0
a,b,N,140940,234,-35,21,a,0,0,0,0,0,0,0,0
a,a,W,15819,758,-21,1,a,1,0,0,0,0,686,686,0
b,b,W,41991,361,-25,52,a,0,1,0,0,0,5335,5335,0
a,a,N,6046,960,13,-3,a,0,0,0,0,0,0,0,0
a,a,W,115742,300,65,-47,a,0,1,0,0,0,5280,5280,0
a,a,W,20847,23,28,-1,a,0,0,0,0,0,0,0,0
a,a,W,246947,426,-25,80,a,0,0,0,1,0,381223,140364,1
a,a,W,65752,1464,91,56,b,0,0,1,0,0,60622,25240,1
a,a,W,9656,194,5,-16,a,0,0,0,0,0,0,0,0
b,a,W,140045,73,40,-24,a,0,0,0,0,0,0,0,0
a,b,N,18600,926,-2,-31,b,0,1,0,0,0,6825,6825,0
a,a,W,45345,95,16,10,b,0,0,0,0,0,0,0,0
a,a,N,33339,551,-37,15,a,0,1,0,0,0,3068,3068,0
a,a,W,14584,575,-25,-20,c,0,0,0,0,0,0,0,0
a,a,W,19040,685,-22,-39,a,0,0,0,0,0,0,0,0
a,b,W,89195,1509,67,-7,c,0,0,0,0,0,0,0,0
a,b,W,4328,19,-55,25,a,0,0,0,0,0,0,0,0
a,a,W,55216,96,33,-6,a,0,0,0,0,0,0,0,0
a,a,W,82382,639,-45,0,a,0,0,0,0,0,0,0,0
a,a,W,2389,21,-32,17,c,1,0,0,0,0,385,385,0
a,a,W,20759,390,48,2,a,0,0,0,0,0,0,0,0
a,b,N,12619,140,-9,27,b,0,0,0,0,0,0,0,0
a,a,N,51405,529,12,-33,a,0,1,0,0,0,4394,4394,0
a,a,N,82073,733,-34,66,a,0,0,1,0,0,172499,56280,1
a,a,N,64238,131,31,-12,a,0,1,0,0,0,2365,2365,0
a,a,W,175494,996,84,53,a,0,1,0,0,0,19249,9161,1
a,a,W,28692,237,-20,0,a,0,1,0,0,0,1785,1785,0
b,b,W,127518,86,29,-4,a,0,0,0,0,0,0,0,0
c,b,N,2865,73,36,20,b,0,0,0,0,0,0,0,0
a,a,N,67033,174,-17,18,a,1,0,0,0,0,721,721,0
a,b,N,12083,50,-17,35,b,0,0,0,0,0,0,0,0
a,a,W,32260,334,3,-43,a,0,0,0,0,0,0,0,0
a,a,W,11959,307,-47,19,a,0,0,0,0,0,0,0,0
a,a,N,44863,436,-25,13,a,0,0,0,0,0,0,0,0
b,a,W,126673,188,-9,44,b,0,0,0,0,0,0,0,0
a,a,W,89838,365,-6,-1,a,0,1,0,0,0,2611,2611,0
c,b,W,2865,56,31,23,b,1,0,0,0,0,480,480,0
a,a,N,29899,891,38,-84,a,0,0,0,0,0,0,0,0
a,b,W,18142,721,-45,-8,b,0,0,0,0,0,0,0,0
b,b,N,43711,519,-69,33,b,0,0,0,0,0,0,0,0
b,a,N,13928,207,7,34,a,1,0,0,0,0,252,252,0
b,b,W,18678,52,31,37,a,0,1,0,0,0,4009,4009,0
a,a,W,113508,2284,61,43,a,0,0,1,0,0,85133,25404,1
a,a,W,67558,1213,-11,3,b,0,1,0,0,0,1977,1977,0
a,a,N,28859,111,20,-3,a,0,0,0,0,0,0,0,0
a,a,N,20707,641,-21,23,a,0,1,0,0,0,1860,1860,0
a,a,W,20844,356,-15,-31,a,1,0,0,0,0,808,808,0
c,a,W,141704,470,-10,-33,a,0,0,0,0,0,0,0,0
a,b,N,49652,42,0,-6,a,1,0,0,0,0,651,651,0
b,a,N,133188,42,45,-15,a,0,1,0,0,0,1587,1587,0
a,a,N,43674,174,5,-17,a,1,0,0,0,0,850,850,0
a,a,N,26455,414,6,1,b,0,1,0,0,0,1992,1992,0
b,a,N,33389,34,-3,-18,b,1,0,0,0,0,157,157,0
a,a,W,42652,193,35,25,a,1,0,0,0,0,193,193,0
a,b,N,33956,122,-4,-25,b,1,0,0,0,0,632,632,0
a,a,N,34159,81,11,-33,a,0,0,0,0,0,0,0,0
a,a,W,43272,351,18,-4,a,0,0,0,0,0,0,0,0
c,b,N,28330,852,-11,10,a,0,0,0,0,0,0,0,0
a,b,N,40065,1141,-25,29,c,1,0,0,0,0,214,214,0
a,a,W,78272,36,-13,-40,c,0,0,0,0,0,0,0,0
a,a,N,45987,12,58,13,a,0,0,0,0,0,0,0,0
a,b,W,43240,78,10,14,a,0,0,0,0,0,0,0,0
a,c,N,1484,95,-29,-46,a,0,0,0,0,0,0,0,0
